Area Code,Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1001,"Autauga County, Alabama",-1.1473978598583396,-1.0445718902197512,-1.2114701925956726,-1.161665002763859,-1.2703455698411423,-1.314663199142347,-1.4950044851531097,-1.5122539702638318,-1.5428787329794424,-1.5130574469464304,-1.5971788148915202,-1.6410120956093903,-1.7889000218923892,-1.7797565357011238,-1.7338699560595832,-1.729079466617088,-1.7311389336479408,-1.7214520551339276,-1.6969334714587436,-1.6891048329992553
1005,"Barbour County, Alabama",0.7260596745419038,0.686478021323972,0.6037431480713255,0.6542303698251074,0.5338893522580725,0.6481107682139461,0.6300405717828497,0.5183471131662251,0.4136718351108607,0.2964858053577801,0.3403167619352513,0.2040365839319416,0.0030706071818937,-0.024041295568272,-0.1249259963582234,-0.0713872121424151,-0.1157054956592364,-0.0078816422002204,0.0488522049000417,0.1077748318461406
1009,"Blount County, Alabama",-2.245630730309174,-2.257786986239537,-2.5401196414137166,-2.6412188677043167,-2.730701519949706,-2.668596544686469,-2.6593033642864663,-2.5019620209524844,-2.4588382291352398,-2.486581496612803,-2.5532332292128213,-2.61163724965168,-2.5954829023934467,-2.629755918977968,-2.726014142224794,-2.7258672181832466,-2.7242103780097597,-2.676602635952384,-2.6030894882992146,-2.550053990613508
1017,"Chambers County, Alabama",-0.0376561158183447,-0.0184742281231856,-0.028736250524105,-0.0989322935191793,-0.2133528342590347,-0.2229288577592324,-0.4508960811899115,-0.5388748069439064,-1.0970353074579786,-1.286839261272034,-1.121609223658378,-0.9484914544534806,-0.9475375241748082,-0.927398179329037,-0.90789128351117,-0.9872361541314266,-0.9696451097885004,-0.8748148013469896,-0.8643252992386925,-0.7939604386297445
1027,"Clay County, Alabama",0.6053738442256905,0.471001523407158,0.3853988843806967,0.163451029370683,0.1782265123580768,0.2626321771734135,0.4438178452852805,0.3103419164267402,-0.0303139006702617,-0.284832511713034,-0.2959717339706788,-0.3528653503379508,-0.3840571905995883,-0.3956996773812771,-0.2563105032819151,-0.1777271607751668,-0.1030374897895696,0.0403829343527115,0.1622164172666263,0.1791839598149577
1029,"Cleburne County, Alabama",-1.1420224517057036,-1.207633910172814,-1.3086465730894976,-1.5494686880786128,-1.5469187090358236,-1.5339543562678888,-1.668946079630677,-1.9769768529463805,-1.8321994895012177,-1.877833107566099,-1.9521324394205053,-1.992114381588012,-2.067360392840094,-2.0927642740901025,-2.0280665584142743,-2.268855425854887,-2.1626737654402857,-2.3452221331913625,-2.397155457932329,-2.489609029080082
1035,"Conecuh County, Alabama",-0.0564065492161822,-0.1688472602708123,-0.1531014385721399,-0.1031063882302478,-0.1500028327162798,0.0740700013636896,0.0043662657388504,-0.1135771217600023,-0.2044897138468594,-0.5118327488439165,-0.550618922563636,-0.5931927154933747,-0.5655572121150192,-0.3767856872782957,-0.2972160753089169,-0.2496316519753426,-0.2922859204645726,-0.2888769510294091,-0.2149787785810328,-0.2053690789560663
1037,"Coosa County, Alabama",-1.9197897520666352,-2.1166984009115573,-2.286863523665411,-2.354315379001725,-2.4782532694906143,-2.447927324262556,-2.350364082856484,-2.241686005064937,-2.360238158131457,-2.4711584870707584,-2.851157034748675,-2.849317862869746,-2.751434630886561,-2.9466962793721763,-2.87916060461134,-2.8619117045330187,-2.717867145980597,-2.593823520127088,-2.5221009052808747,-2.459667935949768
1041,"Crenshaw County, Alabama",-1.0083197448136618,-1.0135952547254434,-0.9303722792993172,-1.1375203053381069,-1.2115525929330246,-0.7704546596222275,-0.493157747324261,-0.5438367705414672,-0.5859530789235831,-0.6724382376682436,-0.4046723605945299,-0.3702942387832066,-0.5046570321147259,-0.4146095077973035,-0.3825570158298935,-0.3413393746608686,-0.3265641986030618,-0.3837925754610402,-0.4258426150751355,-0.3780327614175677
1047,"Dallas County, Alabama",0.3015703953505345,0.2255613684909501,0.1604188090621635,0.1240589542557479,0.1241090509822091,0.1132127470538771,0.0901698575939116,0.0459402818953123,-0.0392439346272091,-0.145335480952244,-0.1665802606972334,-0.1332588158252404,-0.1950989113749452,-0.2165131962574528,-0.2212345432684676,-0.1861008026989138,-0.1307738136443249,-0.1259621374494327,-0.0670906830449505,-0.0481203427513063
1049,"DeKalb County, Alabama",0.1486637351486142,0.143057549005671,0.1914270802543156,0.1384392855117967,0.0178683353294193,-0.0878405686224273,-0.0613838353036445,-0.1587998063195847,-0.211163658619194,-0.4745401657430127,-0.3968336548884782,-0.5465617965089119,-0.5764269937371693,-0.5022900130092753,-0.4801890551352776,-0.4996666157610002,-0.5313994210889628,-0.507396626429454,-0.4200864020169378,-0.3559797166272772
1051,"Elmore County, Alabama",-1.873983649431184,-1.8336164979198104,-1.8482027105190828,-1.651955318017186,-1.71304246701228,-1.7042257778868417,-1.6134343175853267,-1.45934016550912,-1.3382989512612655,-1.309027489008333,-1.2787462393434816,-1.2718281240536633,-1.2506146872699546,-1.2667442771325348,-1.215245332929967,-1.1737846676322292,-1.153464190751745,-1.1314627247099514,-1.129213934567566,-1.1411398547353513
1057,"Fayette County, Alabama",-0.176237668724701,-0.1493411122284907,-0.3696263533558411,-0.1575910467157982,-0.2490136911377859,-0.1092835894609176,-0.1135326510607042,-0.3916057668118033,-0.6032638814261887,-0.7293253032772723,-0.7927235058284321,-0.8358257283570377,-0.8370797104117198,-0.9205752465931633,-0.9265246142173869,-0.8450921007406755,-0.7188558860924016,-0.7056077333971945,-0.7360522680371219,-0.731423618846021
