Area Code,Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1001,"Autauga County, Alabama",-0.8974197758614729,-0.94503142498175,-1.0166355814406267,-1.134363975801473,-1.1543191502053332,-1.078528699349543,-1.227046797814596,-1.263515255310855,-1.2569257111941687,-1.2852559457403427,-1.2854897520339068,-1.3344728824830123,-1.3908464269624563,-1.4273581427988773,-1.4657018470526324,-1.4034394414071103,-1.383764576625759,-1.3295930348021103,-1.352391684977006,-1.3550871768210269
1009,"Blount County, Alabama",-1.370566249731225,-1.4927100349730464,-1.674199550749996,-1.755758417219496,-1.6913645777445367,-1.5790261337245568,-1.6476090143171154,-1.7159065698612523,-1.7366487804889554,-1.8043009590033572,-1.8699506825595649,-1.9036665608263,-1.9409251737696969,-1.9794818243760348,-2.003894030639522,-1.943702348332152,-1.8708739988483007,-1.7871432947859776,-1.7766969996393251,-1.8003354669114198
1019,"Cherokee County, Alabama",-1.243710148025255,-1.1942758530937876,-1.278711625354697,-1.3701479681758295,-1.3662297164198207,-1.366543971880338,-1.507149676234811,-1.4019093687480484,-1.3944943728540922,-1.5942372128177935,-1.552763350159319,-1.487471863850622,-1.4775736329538256,-1.5141565398190704,-1.4517452306400342,-1.4389920083230598,-1.4884980872998523,-1.4944565742300695,-1.4255964060786894,-1.5156298731279274
1025,"Clarke County, Alabama",0.3895147727443241,0.2549537996142289,0.2441436655231255,0.2267322746443772,0.2346584671945316,0.2533630738091609,0.1952872340814469,0.2440234613507408,0.2657098897700914,0.1777263835365672,0.2261990293774538,0.2236502602963593,0.1911085547095585,0.0743802628910479,0.1283149081264278,0.0544250449120605,0.092419281027231,0.1005337876804511,0.0913608110530158,0.1363968728159902
1027,"Clay County, Alabama",-1.0569688296126558,-1.1707608778488727,-1.2865687231379537,-1.3565474564640387,-1.4242003721822345,-1.3874473205343347,-1.4179575801538304,-1.3186997756777352,-1.3188821052031303,-1.344706399808319,-1.4218374874601611,-1.4120592120370803,-1.4286044031771603,-1.4870058475842003,-1.5904972914251712,-1.6306591227843672,-1.5913771063257498,-1.5851581879325358,-1.5038141810044074,-1.482013597108519
1031,"Coffee County, Alabama",-0.2682245690226374,-0.3058320787984666,-0.3217010812022887,-0.3213068658836862,-0.2832792962652337,-0.3429266822565316,-0.3718052038476817,-0.385922094901985,-0.3878427469146125,-0.4164114060325746,-0.4911578168536933,-0.5930765366863157,-0.6321281727137154,-0.597458409657295,-0.5826350352950054,-0.5619762337918434,-0.5243910980801548,-0.5143833133418557,-0.566470964226623,-0.6318125560331341
1033,"Colbert County, Alabama",0.2232200148301415,0.168370860282031,0.1060583614145721,0.0747782926503308,0.1111282877660591,0.1173894742528197,0.0132333907372453,-0.0491691368056668,-0.0103850832612639,-0.0137586039596707,0.0003445517855667,-0.0361573850915329,-0.0591640807950372,-0.1175813451867861,-0.1054709864628049,-0.1314311491380795,-0.1599909899807968,-0.1627087217337339,-0.1556081826616992,-0.1317868700455598
1037,"Coosa County, Alabama",-2.0097350400974268,-2.196660739723935,-2.1393859185694093,-2.410547353616082,-2.30705092272169,-2.481353428777336,-2.385855521479866,-2.4110122916748336,-2.484797624096963,-2.435041139838176,-2.790855780424556,-2.689865955415431,-2.6644116096311827,-2.746752124640217,-2.764208965494701,-2.7817049162403444,-2.608798114135662,-2.549850779891972,-2.5636223442140564,-2.445121876835122
1039,"Covington County, Alabama",0.157800224066841,0.1144370246008366,0.14526359169007,0.0435283479998896,0.1422624957875071,0.1467075811409184,0.0480299942302593,0.0290737413311992,0.0452704066735895,-0.0117988267373886,-0.045719405810957,-0.0909197614401019,-0.1310096952690503,-0.1609203212028976,-0.1681415584073907,-0.1848143471060779,-0.1946967883967418,-0.1548569530338151,-0.1782026395019359,-0.1509764571633857
1041,"Crenshaw County, Alabama",-0.624878625477816,-0.6797610290814483,-0.8186896680987665,-0.9806587472616124,-0.9227349907261254,-0.9898413792152708,-1.0989213026675508,-1.1127885435142864,-1.0130685349308497,-1.063573575124071,-1.1200687354434309,-1.1322696177174136,-1.2485184476869675,-1.2347047958609507,-1.189651349541101,-1.148729791261638,-1.1360946773988894,-1.0954948640222353,-1.0994968817576656,-1.0600040893647928
1045,"Dale County, Alabama",-0.7715835389917872,-0.8961772299926861,-0.9612732913111776,-0.9621801941300264,-0.9025255749097824,-0.8730741590076899,-0.897364814345608,-0.950506534180522,-0.9072008886684092,-0.934680396203054,-0.9763389509762038,-0.9624762065627644,-1.0161004796457511,-1.028085274937815,-1.0210760349766987,-1.031341279426624,-1.0418214945589286,-1.008786993723808,-1.0324637652866302,-1.0454566790901845
1047,"Dallas County, Alabama",-6.781052647304158e-05,-0.1589946507589009,-0.2283693164195328,-0.2481848057660274,-0.2031233982534254,-0.2310904057175639,-0.3337302353715785,-0.3879044519197306,-0.465490910210341,-0.500835818588474,-0.482908747101993,-0.4468452890981346,-0.468926962440971,-0.5201546919794152,-0.5602629479414081,-0.5932262303398008,-0.5330290077418681,-0.4728245923822114,-0.4298821094520751,-0.3390946376594126
1049,"DeKalb County, Alabama",-0.577925991246765,-0.6365062786258557,-0.6797546993810109,-0.7528023782930231,-0.8053209556894199,-0.8370324279038079,-0.9153125197334784,-0.9336836250884972,-0.938110350675578,-1.031151395616709,-1.0614915878574092,-1.0818309684612282,-1.1710866633985195,-1.2317036482216386,-1.216264244916296,-1.2405606756926195,-1.225121959525003,-1.151824196884335,-1.1225118632105753,-1.1351653672150537
